Selected Features,Importance
Age,0.141885425
biological_sex_Male,0.070020914
infancy_vac_wP,0.108217115
IgG-PT-D0-titer,0.410018117
actual_boost_day_on_D0,0.064570711
ethnicity_Not Hispanic or Latino,0.006423058
race_Black or African American,0.110859184
race_More Than One Race,0.004573772
race_Unknown or Not Reported,0.016589531
IgG-FIM2/3,0.423018117
IgG3-OVA,0.022570711
IgG4-PRN,0.766423058
ENSG00000000005.5,0.130859184
ENSG00000000419.12,0.121885425
ENSG00000000457.13,0.570020914
