Model,MSE,MAE,R-squared,Explained Variance
Random Forest,111.07642303115281,8.289544363091235,0.328695122936551,0.32870480142760083
SVR,193.0262304053226,10.724827005788965,-0.16657924639798516,-0.13994904001284003
Gradient Boosting,60.736796059921765,6.027571601840631,0.6329292364699368,0.6333337903039552
Lasso,37.538620998763115,4.963293659961641,0.7731304387823287,0.78673665080873
Ridge,109.98848192761315,7.774685167496267,0.33527023715821735,0.34284096603146286
ElasticNet,33.06189344015873,5.199324079200665,0.8001861267615196,0.8040379230579345
Decision Tree,100.61574664311799,7.9106687434,0.39191558759538103,0.40795123516903076
KNN,182.85768341652206,11.405019185000002,-0.10512430393628791,-0.10430843613076335
Linear Regression,109.96411045478877,7.775262695208684,0.33541752933887803,0.343037242944393
Polynomial Regression,190.81236734364555,11.39658717165052,-0.15319947569689218,-0.15147307872269544
SGD Regressor,2.439174298274785e+35,3.979139029499575e+17,-1.474146860113096e+33,-5.172257321565922e+32
Bayesian Ridge,109.96411101037148,7.775262682284919,0.33541752598114116,0.3430372384739022
ARD Regression,89.98678916139905,7.921300721119754,0.45615308103336083,0.4561643136955985
Passive Aggressive Regressor,589.5737475180146,20.64455328943035,-2.563165983355577,-1.2372310287967685
Extra Trees Regressor,89.8775401039333,7.208152936151048,0.45681334198784607,0.4592505760258325
AdaBoost Regressor,107.41446415915956,7.812322517009643,0.350826649891514,0.36065971646960415
Bagging Regressor,92.83500400608972,7.38973475265667,0.43893952244020107,0.43893992356441847
Extra Tree Regressor,108.22406758464864,8.395978702869842,0.3459337057978277,0.34593506087329295
Huber Regressor,124.86110427176627,8.796059278066574,0.24538560059990244,0.24917906299419812
Quantile Regressor,145.65572040749473,7.912625295239993,0.11971062072895655,0.12037387240528019
TheilSen Regressor,104.72363998884254,7.48806964232524,0.3670889973776895,0.3746770004216956
