Model,MSE,MAE,R-squared,Explained Variance
Random Forest,136591.3080426857,185.95860960858587,-0.11658409082275067,-0.040776153404556315
SVR,105803.93287480481,162.16685347487044,0.13509146454936904,0.20239713361166312
Gradient Boosting,151002.24785509214,185.0768142068775,-0.2343882641549857,-0.13721787590106227
Lasso,103125.72568286103,174.6019302094251,0.15698483086457382,0.20802223173548062
Ridge,105810.82508883161,162.1621431758719,0.1350351232151863,0.20238131911073554
ElasticNet,101393.4498862654,164.5481173385845,0.17114555326421232,0.22499458678031126
Decision Tree,164710.9399402685,203.2495123376624,-0.3464518186200485,-0.2530348566169436
KNN,133770.48149269467,165.61105743705303,-0.09352486330802412,0.07073624981920335
Linear Regression,105726.26769247685,162.03942392805303,0.13572634906904246,0.20303854205491978
Polynominal Regression,6.414514313039127e+25,3377125185206.972,-5.243631337109705e+20,-4.424733172103931e+20
Bayesian Ridge,105790.07689297908,162.15288294324935,0.13520473214370599,0.20252048512213894
ARD Regression,144878.98735195372,189.74907619910337,-0.18433284437943875,-0.057333939482440144
Passive Aggressive Regressor,105943.17139674834,162.39122133977864,0.13395324045107404,0.20090339222253883
Extra Trees Regressor,125438.53079743628,176.80765636363637,-0.025414207328818383,0.07035178365542527
AdaBoost Regressor,147553.1747772793,179.4881765867027,-0.2061933505696545,-0.06934075271998252
Bagging Regressor,138183.95950522294,183.24215636363635,-0.12960343525086704,-0.03238852915354151
Extra Tree Regressor,156924.42268817362,201.66223549783547,-0.28279988196907957,-0.19200599869315682
Huber Regressor,105938.00133608785,162.35457797891078,0.13399550381003,0.2009843737538224
Quantile Regressor,113445.60204999443,175.86812247138224,0.0726236080611592,0.14081655316024444
TheilSen Regressor,105939.41656677081,162.3641759892866,0.1339839348157208,0.20096688677844665
