Model,MSE,MAE,R-squared,Explained Variance
Random Forest,1.9813924806203629,1.1165002897794902,-0.013837612461568005,-0.0019690911765752883
SVR,1.6858392730505047,1.0443906772457308,0.1373908600640602,0.14106917490179605
Gradient Boosting,1.799273399314086,1.0454954161232362,0.07934896030539862,0.10874282576757266
Lasso,1.6888039945976894,0.9364311621530154,0.1358738732760263,0.1607886413248102
Ridge,1.7102058703087473,1.0505412776637781,0.12492297546788245,0.12923787414731547
ElasticNet,2.0450096906523134,1.108633805420518,-0.04638922500733944,-0.010697798983748452
Decision Tree,2.358581456342104,1.1700743058868233,-0.20683742160227125,-0.19598021397807686
KNN,2.0157135666948403,1.1343446480516186,-0.03139900340413493,-0.02598791927292954
Linear Regression,1.7110916265086524,1.0506699230828735,0.12446975231309698,0.12889599849561262
Bayesian Ridge,1.7103855899486204,1.0506115842984611,0.12483101663974339,0.12914169489389338
ARD Regression,1.701323644892109,1.054973802601811,0.12946782677716506,0.14671139360816499
Passive Aggressive Regressor,1.7100527013284725,1.0480723016148747,0.12500134887183134,0.13011606751531957
Extra Trees Regressor,2.3485212067778374,1.176409156735605,-0.20168979966529377,-0.18265598810384231
AdaBoost Regressor,1.916606200214416,1.1006360153726293,0.01931218925084477,0.02930163302160549
Bagging Regressor,2.5522492070462137,1.2503318717432848,-0.30593320999608875,-0.2935882442636659
Extra Tree Regressor,6.1900491035773095,1.7225838551044,-2.167320288924182,-2.002998403431295
Huber Regressor,1.712226412961047,1.0509986065435173,0.12388910552110499,0.12865192402242998
Quantile Regressor,1.7361230143212862,1.0660898360587703,0.11166170811954357,0.12174788991209073
TheilSen Regressor,1.7121619187901493,1.0513030429415757,0.12392210585641472,0.12847385081700236
