specimen_id	cell_type_name	percent_live_cell
483	CD3CD19	0.22
483	CD19+ CD3-	9.12
483	MB doublets (CD19+CD14+)	0.014
483	Bcells	9.11
483	B cells (CD19+CD3-CD14-CD56-)	8.98
483	B cells (CD19+CD20+CD3-CD14-CD56-)	8.85
483	Memory B cells	1.41
483	Naive B cells	7.25
483	Proliferating B cells	0.19
483	Activated B cells (ABCs)	0.14
483	ASCs (Plasmablasts)	0.046
483	B:NK doublets (CD19+CD3-CD14-CD56+)	0.12
483	CD3CD19neg	66.1
483	T cells (CD19-CD3+CD14-)	65.8
483	CD56+ CD3high T cells	0.44
483	CD56+CD3+T cells	1.51
483	CD3 Tcells	63.7
483	CD4Tcells	40.9
483	NaiveCD4	30.0
483	TcmCD4	8.73
483	TemraCD4	0.1
483	TemCD4	2.1
483	CD4+CD8+ T cells	0.46
483	CD4-CD8- T cells	2.68
483	CD8Tcells	18.7
483	NaiveCD8	13.4
483	TcmCD8	1.08
483	TemCD8	1.78
483	TemraCD8	2.44
483	T:M doublets (CD19-CD3+CD14+)	0.34
483	CD19-CD3-	24.5
483	NK cells (CD3-CD19-CD56+)	6.22
483	CD3-CD19-CD56- cells	18.3
483	Monocytes	15.3
483	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.21
483	non-pDCs	0.54
483	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.058
483	Conventional dendritic cells (cDCs)	0.48
483	cDC1	0.023
483	cDC2	0.39
483	pDC	0.61
483	Classical_Monocytes	13.1
483	Intermediate_Monocytes	0.39
483	Non-Classical_Monocytes	0.5
483	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	2.98
483	Activated granulocytes	0.033
483	Basophils	0.83
483	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	2.11
483	NK	5.58
483	CD56high NK cells	0.41
484	CD3CD19	0.17
484	CD19+ CD3-	8.66
484	MB doublets (CD19+CD14+)	0.015
484	Bcells	8.64
484	B cells (CD19+CD3-CD14-CD56-)	8.51
484	B cells (CD19+CD20+CD3-CD14-CD56-)	8.41
484	Memory B cells	1.35
484	Naive B cells	6.86
484	Proliferating B cells	0.2
484	Activated B cells (ABCs)	0.14
484	ASCs (Plasmablasts)	0.05
484	B:NK doublets (CD19+CD3-CD14-CD56+)	0.13
484	CD3CD19neg	63.6
484	T cells (CD19-CD3+CD14-)	63.0
484	CD56+ CD3high T cells	0.37
484	CD56+CD3+T cells	1.42
484	CD3 Tcells	61.1
484	CD4Tcells	38.8
484	NaiveCD4	29.0
484	TcmCD4	7.34
484	TemraCD4	0.13
484	TemCD4	2.35
484	CD4+CD8+ T cells	0.34
484	CD4-CD8- T cells	2.74
484	CD8Tcells	18.3
484	NaiveCD8	13.0
484	TcmCD8	0.81
484	TemCD8	1.78
484	TemraCD8	2.66
484	T:M doublets (CD19-CD3+CD14+)	0.54
484	CD19-CD3-	27.6
484	NK cells (CD3-CD19-CD56+)	6.02
484	CD3-CD19-CD56- cells	21.6
484	Monocytes	18.7
484	CD3-CD19-CD56-HLA-DR+CD14-CD16- cells	1.24
484	non-pDCs	0.57
484	CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.045
484	Conventional dendritic cells (cDCs)	0.52
484	cDC1	0.018
484	cDC2	0.44
484	pDC	0.61
484	Classical_Monocytes	16.1
484	Intermediate_Monocytes	0.77
484	Non-Classical_Monocytes	0.47
484	Lineage - cells (CD3-CD19-CD56-HLA-DR-)	2.88
484	Activated granulocytes	0.044
484	Basophils	0.99
484	Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	1.85
484	NK	5.35
484	CD56high NK cells	0.42
485	CD3CD19	0.19
485	CD19+ CD3-	7.75
485	MB doublets (CD19+CD14+)	0.00965
485	Bcells	7.74
485	B cells (CD19+CD3-CD14-CD56-)	7.61
485	B cells (CD19+CD20+CD3-CD14-CD56-)	7.54
485	Memory B cells	1.06
485	Naive B cells	6.34
485	Proliferating B cells	0.14
485	Activated B cells (ABCs)	0.099
485	ASCs (Plasmablasts)	0.038
485	B:NK doublets (CD19+CD3-CD14-CD56+)	0.12
485	CD3CD19neg	69.8
485	T cells (CD19-CD3+CD14-)	69.5
485	CD56+ CD3high T cells	0.61
485	CD56+CD3+T cells	1.53
485	CD3 Tcells	67.4
485	CD4Tcells	42.6
485	NaiveCD4	30.7
485	TcmCD4	9.37
485	TemraCD4	0.13
485	TemCD4	2.44
485	CD4+CD8+ T cells	0.37
485	CD4-CD8- T cells	2.87
485	CD8Tcells	20.7
485	NaiveCD8	15.1
485	TcmCD8	1.11
485	TemCD8	1.87
485	TemraCD8	2.68
485	T:M doublets (CD19-CD3+CD14+)	0.26
