protein_id	specimen_id	lower_limit_of_quantitation	protein_expression	quality_control	unit	upper_limit_of_quantitation
P80075	472	0.0298	21.8887	Pass	PG/ML	1953.125
O95760	472	0.23842	0.11557	Pass	PG/ML	7812.50001
P48061	472	30.51758	217.13012	Pass	PG/ML	31249.99966
P78380	472	0.95367	78.16996	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	472	0.23842	6.55287	Pass	PG/ML	31250.0
P60568	472	0.11921	nan	Pass	PG/ML	3906.25003
Q07325	472	0.11921	64.22291	Pass	PG/ML	1953.12499
P01135	472	0.47684	4.13574	Pass	PG/ML	1953.12499
P01584	472	0.19073	0.19642	Pass	PG/ML	3125.00001
P05231	472	0.0596	1.49541	Pass	PG/ML	3906.25
P05112	472	0.0596	0.01279	Pass	PG/ML	3906.25
O43508	472	3.8147	369.2905	Pass	PG/ML	15625.00004
Q969D9	472	0.47684	0.06039	Pass	PG/ML	7812.50001
P51671	472	0.23842	205.61777	Pass	PG/ML	15624.99998
P14210	472	0.23842	90.69664	Pass	PG/ML	15624.99995
P49771	472	0.95367	114.29318	Pass	PG/ML	3906.25003
Q96PD4	472	0.23842	0.49927	Pass	PG/ML	3906.24998
P13232	472	0.23842	1.27692	Pass	PG/ML	1953.125
P35225	472	0.47684	0.13276	Pass	PG/ML	15625.00001
Q14116	472	0.95367	210.28571	Pass	PG/ML	15624.99996
Q99616	472	0.0596	204.93315	Pass	PG/ML	1953.125
P50591	472	0.95367	242.01745	Pass	PG/ML	7812.5
P02778	472	0.11921	85.83895	Pass	PG/ML	1953.12501
P01579	472	0.0298	0.4933	Pass	PG/ML	3906.25001
P22301	472	0.11921	5.81158	Pass	PG/ML	31250.00005
Q99731	472	0.95367	123.27815	Pass	PG/ML	1953.125
P01375	472	3.8147	10.27277	Pass	PG/ML	15625.00004
P40933	472	0.11921	9.3934	Pass	PG/ML	15624.99998
P10147	472	0.0298	4.24326	Pass	PG/ML	1953.125
P10145	472	0.23842	5.85913	Pass	PG/ML	1953.125
P39900	472	7.62939	207.8169	Pass	PG/ML	15624.9999
P04141	472	0.23842	0.10858	Pass	PG/ML	7812.50002
P09919	472	7.62939	121.71549	Pass	PG/ML	62500.00009
P15692	472	0.47684	280.66354	Pass	PG/ML	7812.50003
Q9P0M4	472	1.90735	17.55174	Pass	PG/ML	7812.5
P01133	472	0.47684	437.62243	Pass	PG/ML	976.5625
P13500	472	0.23842	230.81941	Pass	PG/ML	3906.25002
Q16552	472	0.11921	1.81008	Pass	PG/ML	15625.00005
P13725	472	0.11921	1.05276	Pass	PG/ML	1953.125
P09603	472	0.23842	141.11747	Pass	PG/ML	3906.24999
P13236	472	0.11921	57.49678	Pass	PG/ML	3906.25001
O14625	472	0.11921	783.52411	Pass	PG/ML	1953.12499
P01374	472	0.11921	9.24139	Pass	PG/ML	3906.25001
P80098	472	0.11921	2.7835	Pass	PG/ML	1953.125
P03956	472	0.95367	3868.84801	Pass	PG/ML	7812.49998
P80075	477	0.0298	5.80122	Pass	PG/ML	1953.125
O95760	477	0.23842	0.02369	Pass	PG/ML	7812.50001
P48061	477	30.51758	421.5566	Pass	PG/ML	31249.99966
P78380	477	0.95367	96.0792	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	477	0.23842	2.92344	Pass	PG/ML	31250.0
P60568	477	0.11921	0.00142	Pass	PG/ML	3906.25003
Q07325	477	0.11921	21.14341	Pass	PG/ML	1953.12499
P01135	477	0.47684	3.79979	Pass	PG/ML	1953.12499
P01584	477	0.19073	0.05205	Pass	PG/ML	3125.00001
P05231	477	0.0596	0.6594	Pass	PG/ML	3906.25
P05112	477	0.0596	0.01013	Pass	PG/ML	3906.25
O43508	477	3.8147	304.90409	Pass	PG/ML	15625.00004
Q969D9	477	0.47684	0.02174	Pass	PG/ML	7812.50001
P51671	477	0.23842	150.73404	Pass	PG/ML	15624.99998
P14210	477	0.23842	109.00139	Pass	PG/ML	15624.99995
P49771	477	0.95367	84.44534	Pass	PG/ML	3906.25003
Q96PD4	477	0.23842	0.09718	Pass	PG/ML	3906.24998
P13232	477	0.23842	0.41822	Pass	PG/ML	1953.125
P35225	477	0.47684	0.1732	Pass	PG/ML	15625.00001
Q14116	477	0.95367	145.61048	Pass	PG/ML	15624.99996
Q99616	477	0.0596	106.58473	Pass	PG/ML	1953.125
P50591	477	0.95367	322.59489	Pass	PG/ML	7812.5
P02778	477	0.11921	52.50825	Pass	PG/ML	1953.12501
P01579	477	0.0298	0.20115	Pass	PG/ML	3906.25001
P22301	477	0.11921	1.97691	Pass	PG/ML	31250.00005
Q99731	477	0.95367	107.00474	Pass	PG/ML	1953.125
P01375	477	3.8147	8.39145	Pass	PG/ML	15625.00004
P40933	477	0.11921	7.53889	Pass	PG/ML	15624.99998
P10147	477	0.0298	1.88798	Pass	PG/ML	1953.125
P10145	477	0.23842	2.40542	Pass	PG/ML	1953.125
P39900	477	7.62939	196.03794	Pass	PG/ML	15624.9999
P04141	477	0.23842	0.0538	Pass	PG/ML	7812.50002
P09919	477	7.62939	126.49599	Pass	PG/ML	62500.00009
P15692	477	0.47684	146.94671	Pass	PG/ML	7812.50003
Q9P0M4	477	1.90735	13.86298	Pass	PG/ML	7812.5
P01133	477	0.47684	114.92732	Pass	PG/ML	976.5625
P13500	477	0.23842	159.07819	Pass	PG/ML	3906.25002
Q16552	477	0.11921	0.45522	Pass	PG/ML	15625.00005
P13725	477	0.11921	1.66185	Pass	PG/ML	1953.125
P09603	477	0.23842	96.338	Pass	PG/ML	3906.24999
P13236	477	0.11921	31.09703	Pass	PG/ML	3906.25001
O14625	477	0.11921	191.75571	Pass	PG/ML	1953.12499
P01374	477	0.11921	7.23811	Pass	PG/ML	3906.25001
P80098	477	0.11921	1.18831	Pass	PG/ML	1953.125
P03956	477	0.95367	1180.21212	Pass	PG/ML	7812.49998
P80075	469	0.0298	13.85866	Pass	PG/ML	1953.125
O95760	469	0.23842	0.19782	Pass	PG/ML	7812.50001
P48061	469	30.51758	187.30117	Pass	PG/ML	31249.99966
P78380	469	0.95367	442.88603	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	469	0.23842	5.87865	Pass	PG/ML	31250.0
P60568	469	0.11921	0.00237	Pass	PG/ML	3906.25003
Q07325	469	0.11921	71.16359	Pass	PG/ML	1953.12499
P01135	469	0.47684	10.99891	Pass	PG/ML	1953.12499
P01584	469	0.19073	0.06905	Pass	PG/ML	3125.00001
P05231	469	0.0596	3.19785	Pass	PG/ML	3906.25
P05112	469	0.0596	0.05645	Pass	PG/ML	3906.25
O43508	469	3.8147	262.50795	Pass	PG/ML	15625.00004
Q969D9	469	0.47684	0.08369	Pass	PG/ML	7812.50001
P51671	469	0.23842	157.57194	Pass	PG/ML	15624.99998
P14210	469	0.23842	140.20568	Pass	PG/ML	15624.99995
P49771	469	0.95367	85.77935	Pass	PG/ML	3906.25003
Q96PD4	469	0.23842	0.6186	Pass	PG/ML	3906.24998
P13232	469	0.23842	0.62192	Pass	PG/ML	1953.125
P35225	469	0.47684	nan	Pass	PG/ML	15625.00001
Q14116	469	0.95367	133.4279	Pass	PG/ML	15624.99996
Q99616	469	0.0596	111.39325	Pass	PG/ML	1953.125
P50591	469	0.95367	234.62105	Pass	PG/ML	7812.5
P02778	469	0.11921	67.858	Pass	PG/ML	1953.12501
P01579	469	0.0298	0.78273	Pass	PG/ML	3906.25001
P22301	469	0.11921	6.1881	Pass	PG/ML	31250.00005
Q99731	469	0.95367	93.05324	Pass	PG/ML	1953.125
P01375	469	3.8147	9.7433	Pass	PG/ML	15625.00004
P40933	469	0.11921	7.11034	Pass	PG/ML	15624.99998
P10147	469	0.0298	9.46031	Pass	PG/ML	1953.125
P10145	469	0.23842	31.3474	Pass	PG/ML	1953.125
P39900	469	7.62939	188.92157	Pass	PG/ML	15624.9999
P04141	469	0.23842	0.12266	Pass	PG/ML	7812.50002
P09919	469	7.62939	116.65829	Pass	PG/ML	62500.00009
P15692	469	0.47684	223.66696	Pass	PG/ML	7812.50003
Q9P0M4	469	1.90735	14.75214	Pass	PG/ML	7812.5
P01133	469	0.47684	186.32169	Pass	PG/ML	976.5625
P13500	469	0.23842	193.42193	Pass	PG/ML	3906.25002
Q16552	469	0.11921	1.54285	Pass	PG/ML	15625.00005
P13725	469	0.11921	7.98566	Pass	PG/ML	1953.125
P09603	469	0.23842	147.55393	Pass	PG/ML	3906.24999
P13236	469	0.11921	74.64776	Pass	PG/ML	3906.25001
O14625	469	0.11921	411.17178	Pass	PG/ML	1953.12499
P01374	469	0.11921	9.08874	Pass	PG/ML	3906.25001
P80098	469	0.11921	1.91825	Pass	PG/ML	1953.125
P03956	469	0.95367	1637.13967	Pass	PG/ML	7812.49998
P80075	470	0.0298	14.92991	Pass	PG/ML	1953.125
O95760	470	0.23842	0.13531	Pass	PG/ML	7812.50001
P48061	470	30.51758	183.39442	Pass	PG/ML	31249.99966
P78380	470	0.95367	48.21607	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	470	0.23842	9.41004	Pass	PG/ML	31250.0
P60568	470	0.11921	0.00517	Pass	PG/ML	3906.25003
Q07325	470	0.11921	82.16365	Pass	PG/ML	1953.12499
P01135	470	0.47684	4.05505	Pass	PG/ML	1953.12499
P01584	470	0.19073	0.06449	Pass	PG/ML	3125.00001
P05231	470	0.0596	1.9978	Pass	PG/ML	3906.25
P05112	470	0.0596	0.01347	Pass	PG/ML	3906.25
O43508	470	3.8147	286.42715	Pass	PG/ML	15625.00004
Q969D9	470	0.47684	0.03463	Pass	PG/ML	7812.50001
P51671	470	0.23842	155.81675	Pass	PG/ML	15624.99998
P14210	470	0.23842	74.26577	Pass	PG/ML	15624.99995
P49771	470	0.95367	109.3561	Pass	PG/ML	3906.25003
Q96PD4	470	0.23842	0.73704	Pass	PG/ML	3906.24998
P13232	470	0.23842	0.77268	Pass	PG/ML	1953.125
P35225	470	0.47684	0.0775	Pass	PG/ML	15625.00001
Q14116	470	0.95367	182.58114	Pass	PG/ML	15624.99996
Q99616	470	0.0596	120.48496	Pass	PG/ML	1953.125
P50591	470	0.95367	281.63612	Pass	PG/ML	7812.5
P02778	470	0.11921	89.64068	Pass	PG/ML	1953.12501
P01579	470	0.0298	0.66541	Pass	PG/ML	3906.25001
P22301	470	0.11921	6.97212	Pass	PG/ML	31250.00005
Q99731	470	0.95367	122.63353	Pass	PG/ML	1953.125
P01375	470	3.8147	12.29142	Pass	PG/ML	15625.00004
P40933	470	0.11921	7.91515	Pass	PG/ML	15624.99998
P10147	470	0.0298	4.77259	Pass	PG/ML	1953.125
P10145	470	0.23842	4.0766	Pass	PG/ML	1953.125
P39900	470	7.62939	232.14398	Pass	PG/ML	15624.9999
P04141	470	0.23842	0.113	Pass	PG/ML	7812.50002
P09919	470	7.62939	156.34553	Pass	PG/ML	62500.00009
P15692	470	0.47684	219.20698	Pass	PG/ML	7812.50003
Q9P0M4	470	1.90735	10.36825	Pass	PG/ML	7812.5
P01133	470	0.47684	178.15404	Pass	PG/ML	976.5625
P13500	470	0.23842	191.31813	Pass	PG/ML	3906.25002
Q16552	470	0.11921	2.20827	Pass	PG/ML	15625.00005
P13725	470	0.11921	0.75314	Pass	PG/ML	1953.125
P09603	470	0.23842	157.66446	Pass	PG/ML	3906.24999
P13236	470	0.11921	56.89817	Pass	PG/ML	3906.25001
O14625	470	0.11921	657.37355	Pass	PG/ML	1953.12499
P01374	470	0.11921	11.1362	Pass	PG/ML	3906.25001
P80098	470	0.11921	2.26094	Pass	PG/ML	1953.125
P03956	470	0.95367	1822.79161	Pass	PG/ML	7812.49998
P80075	550	0.0298	53.57008	Pass	PG/ML	1953.125
O95760	550	0.23842	0.14118	Pass	PG/ML	7812.50001
P48061	550	30.51758	127.97417	Pass	PG/ML	31249.99966
P78380	550	0.95367	62.11818	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	550	0.23842	7.66319	Pass	PG/ML	31250.0
P60568	550	0.11921	0.0129	Pass	PG/ML	3906.25003
Q07325	550	0.11921	92.29776	Pass	PG/ML	1953.12499
P01135	550	0.47684	4.80221	Pass	PG/ML	1953.12499
P01584	550	0.19073	0.09925	Pass	PG/ML	3125.00001
P05231	550	0.0596	1.10439	Pass	PG/ML	3906.25
P05112	550	0.0596	0.01214	Pass	PG/ML	3906.25
O43508	550	3.8147	285.50047	Pass	PG/ML	15625.00004
Q969D9	550	0.47684	nan	Pass	PG/ML	7812.50001
P51671	550	0.23842	194.99541	Pass	PG/ML	15624.99998
P14210	550	0.23842	102.86568	Pass	PG/ML	15624.99995
P49771	550	0.95367	88.16211	Pass	PG/ML	3906.25003
Q96PD4	550	0.23842	0.92365	Pass	PG/ML	3906.24998
P13232	550	0.23842	2.12323	Pass	PG/ML	1953.125
P35225	550	0.47684	0.0179	Pass	PG/ML	15625.00001
Q14116	550	0.95367	228.08558	Pass	PG/ML	15624.99996
Q99616	550	0.0596	262.23071	Pass	PG/ML	1953.125
P50591	550	0.95367	295.96127	Pass	PG/ML	7812.5
P02778	550	0.11921	90.31549	Pass	PG/ML	1953.12501
P01579	550	0.0298	0.8456	Pass	PG/ML	3906.25001
P22301	550	0.11921	6.89276	Pass	PG/ML	31250.00005
Q99731	550	0.95367	159.71487	Pass	PG/ML	1953.125
P01375	550	3.8147	13.1705	Pass	PG/ML	15625.00004
P40933	550	0.11921	9.70097	Pass	PG/ML	15624.99998
P10147	550	0.0298	8.907	Pass	PG/ML	1953.125
P10145	550	0.23842	3.58956	Pass	PG/ML	1953.125
P39900	550	7.62939	199.16297	Pass	PG/ML	15624.9999
P04141	550	0.23842	0.14916	Pass	PG/ML	7812.50002
P09919	550	7.62939	106.25083	Pass	PG/ML	62500.00009
P15692	550	0.47684	232.32948	Pass	PG/ML	7812.50003
Q9P0M4	550	1.90735	16.65092	Pass	PG/ML	7812.5
P01133	550	0.47684	237.37856	Pass	PG/ML	976.5625
P13500	550	0.23842	278.45953	Pass	PG/ML	3906.25002
Q16552	550	0.11921	0.33614	Pass	PG/ML	15625.00005
P13725	550	0.11921	1.55371	Pass	PG/ML	1953.125
P09603	550	0.23842	172.39239	Pass	PG/ML	3906.24999
P13236	550	0.11921	730.47981	Pass	PG/ML	3906.25001
O14625	550	0.11921	508.25254	Pass	PG/ML	1953.12499
P01374	550	0.11921	5.5905	Pass	PG/ML	3906.25001
P80098	550	0.11921	0.81216	Pass	PG/ML	1953.125
P03956	550	0.95367	222.86858	Pass	PG/ML	7812.49998
P80075	547	0.0298	52.50301	Pass	PG/ML	1953.125
O95760	547	0.23842	0.08697	Pass	PG/ML	7812.50001
P48061	547	30.51758	148.57889	Pass	PG/ML	31249.99966
P78380	547	0.95367	102.37286	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	547	0.23842	7.81499	Pass	PG/ML	31250.0
P60568	547	0.11921	0.00963	Pass	PG/ML	3906.25003
Q07325	547	0.11921	63.19677	Pass	PG/ML	1953.12499
P01135	547	0.47684	7.51941	Pass	PG/ML	1953.12499
P01584	547	0.19073	0.0813	Pass	PG/ML	3125.00001
P05231	547	0.0596	1.60842	Pass	PG/ML	3906.25
P05112	547	0.0596	0.01025	Pass	PG/ML	3906.25
O43508	547	3.8147	295.01067	Pass	PG/ML	15625.00004
